seed,burn_in_initial_predictor,burn_in_train_rows,burn_in_eval_rows,burn_in_initial_heldout_mse,burn_in_initial_heldout_rmse,burn_in_after_heldout_mse,burn_in_after_heldout_rmse,burn_in_after_population_mse,burn_in_after_population_rmse,burn_in_relative_rmse_improvement,mu
0,train_mean_baseline,6392,1599,2744154.7014271775,1656.5490338131187,315490.42253039224,561.6853412101764,313890.7598645813,560.2595468750009,0.6609304465215473,0.0
1,train_mean_baseline,6392,1599,2752395.081821116,1659.0343823505034,296216.5899807804,544.2578341014306,313817.86304489267,560.1944868033714,0.6719430049844225,0.0
2,train_mean_baseline,6392,1599,2749001.9456978673,1658.0114431745842,291083.520720738,539.5215665019684,313697.0141578238,560.0866130857117,0.6745971997220056,0.0
3,train_mean_baseline,6392,1599,2845798.099337729,1686.9493469982224,331140.863545921,575.4484021577616,313826.3212131977,560.20203606663,0.6588822283361849,0.0
4,train_mean_baseline,6392,1599,2790812.0690518315,1670.5723776753377,322121.9780172656,567.5579071929715,313827.3205183835,560.202927980909,0.6602614081391978,0.0
5,train_mean_baseline,6392,1599,2921843.669241173,1709.3401268446175,315293.5416472969,561.5100548051628,313831.4973999408,560.2066559761146,0.6715047836373614,0.0
6,train_mean_baseline,6392,1599,2823258.6815831754,1680.255540560178,312953.69555488747,559.4226448356264,313801.8779907104,560.1802192069177,0.6670609729701463,0.0
7,train_mean_baseline,6392,1599,2790768.306281738,1670.5592794874829,326187.7872934664,571.1285208194968,313829.3292902042,560.204720874614,0.6581213681954972,0.0
8,train_mean_baseline,6392,1599,2857371.8426984544,1690.376242940741,328108.085403215,572.807197408705,313807.51842545695,560.18525366655,0.6611362708149551,0.0
9,train_mean_baseline,6392,1599,2751657.966544152,1658.8122155759982,319057.64064629044,564.8518749604098,313759.36532737775,560.142272398163,0.6594841359036693,0.0
0,train_mean_baseline,6392,1599,2744154.7014271775,1656.5490338131187,315490.42253039224,561.6853412101764,313890.7598645813,560.2595468750009,0.6609304465215473,0.05
1,train_mean_baseline,6392,1599,2752395.081821116,1659.0343823505034,296216.5899807804,544.2578341014306,313817.86304489267,560.1944868033714,0.6719430049844225,0.05
2,train_mean_baseline,6392,1599,2749001.9456978673,1658.0114431745842,291083.520720738,539.5215665019684,313697.0141578238,560.0866130857117,0.6745971997220056,0.05
3,train_mean_baseline,6392,1599,2845798.099337729,1686.9493469982224,331140.863545921,575.4484021577616,313826.3212131977,560.20203606663,0.6588822283361849,0.05
4,train_mean_baseline,6392,1599,2790812.0690518315,1670.5723776753377,322121.9780172656,567.5579071929715,313827.3205183835,560.202927980909,0.6602614081391978,0.05
5,train_mean_baseline,6392,1599,2921843.669241173,1709.3401268446175,315293.5416472969,561.5100548051628,313831.4973999408,560.2066559761146,0.6715047836373614,0.05
6,train_mean_baseline,6392,1599,2823258.6815831754,1680.255540560178,312953.69555488747,559.4226448356264,313801.8779907104,560.1802192069177,0.6670609729701463,0.05
7,train_mean_baseline,6392,1599,2790768.306281738,1670.5592794874829,326187.7872934664,571.1285208194968,313829.3292902042,560.204720874614,0.6581213681954972,0.05
8,train_mean_baseline,6392,1599,2857371.8426984544,1690.376242940741,328108.085403215,572.807197408705,313807.51842545695,560.18525366655,0.6611362708149551,0.05
9,train_mean_baseline,6392,1599,2751657.966544152,1658.8122155759982,319057.64064629044,564.8518749604098,313759.36532737775,560.142272398163,0.6594841359036693,0.05
0,train_mean_baseline,6392,1599,2744154.7014271775,1656.5490338131187,315490.42253039224,561.6853412101764,313890.7598645813,560.2595468750009,0.6609304465215473,0.1
1,train_mean_baseline,6392,1599,2752395.081821116,1659.0343823505034,296216.5899807804,544.2578341014306,313817.86304489267,560.1944868033714,0.6719430049844225,0.1
2,train_mean_baseline,6392,1599,2749001.9456978673,1658.0114431745842,291083.520720738,539.5215665019684,313697.0141578238,560.0866130857117,0.6745971997220056,0.1
3,train_mean_baseline,6392,1599,2845798.099337729,1686.9493469982224,331140.863545921,575.4484021577616,313826.3212131977,560.20203606663,0.6588822283361849,0.1
4,train_mean_baseline,6392,1599,2790812.0690518315,1670.5723776753377,322121.9780172656,567.5579071929715,313827.3205183835,560.202927980909,0.6602614081391978,0.1
5,train_mean_baseline,6392,1599,2921843.669241173,1709.3401268446175,315293.5416472969,561.5100548051628,313831.4973999408,560.2066559761146,0.6715047836373614,0.1
6,train_mean_baseline,6392,1599,2823258.6815831754,1680.255540560178,312953.69555488747,559.4226448356264,313801.8779907104,560.1802192069177,0.6670609729701463,0.1
7,train_mean_baseline,6392,1599,2790768.306281738,1670.5592794874829,326187.7872934664,571.1285208194968,313829.3292902042,560.204720874614,0.6581213681954972,0.1
8,train_mean_baseline,6392,1599,2857371.8426984544,1690.376242940741,328108.085403215,572.807197408705,313807.51842545695,560.18525366655,0.6611362708149551,0.1
9,train_mean_baseline,6392,1599,2751657.966544152,1658.8122155759982,319057.64064629044,564.8518749604098,313759.36532737775,560.142272398163,0.6594841359036693,0.1
0,train_mean_baseline,6392,1599,2744154.7014271775,1656.5490338131187,315490.42253039224,561.6853412101764,313890.7598645813,560.2595468750009,0.6609304465215473,0.2
1,train_mean_baseline,6392,1599,2752395.081821116,1659.0343823505034,296216.5899807804,544.2578341014306,313817.86304489267,560.1944868033714,0.6719430049844225,0.2
2,train_mean_baseline,6392,1599,2749001.9456978673,1658.0114431745842,291083.520720738,539.5215665019684,313697.0141578238,560.0866130857117,0.6745971997220056,0.2
3,train_mean_baseline,6392,1599,2845798.099337729,1686.9493469982224,331140.863545921,575.4484021577616,313826.3212131977,560.20203606663,0.6588822283361849,0.2
4,train_mean_baseline,6392,1599,2790812.0690518315,1670.5723776753377,322121.9780172656,567.5579071929715,313827.3205183835,560.202927980909,0.6602614081391978,0.2
5,train_mean_baseline,6392,1599,2921843.669241173,1709.3401268446175,315293.5416472969,561.5100548051628,313831.4973999408,560.2066559761146,0.6715047836373614,0.2
6,train_mean_baseline,6392,1599,2823258.6815831754,1680.255540560178,312953.69555488747,559.4226448356264,313801.8779907104,560.1802192069177,0.6670609729701463,0.2
7,train_mean_baseline,6392,1599,2790768.306281738,1670.5592794874829,326187.7872934664,571.1285208194968,313829.3292902042,560.204720874614,0.6581213681954972,0.2
8,train_mean_baseline,6392,1599,2857371.8426984544,1690.376242940741,328108.085403215,572.807197408705,313807.51842545695,560.18525366655,0.6611362708149551,0.2
9,train_mean_baseline,6392,1599,2751657.966544152,1658.8122155759982,319057.64064629044,564.8518749604098,313759.36532737775,560.142272398163,0.6594841359036693,0.2
