mu,seed,target,excluded_initial_rounds,included_all_rounds,excluding_initial_rounds,excluded_minus_included,excluded_over_included
0.0,0,Delta_rep_T,3,3241.2021422771504,5512.244970394182,2271.0428281170316,1.700679170389996
0.0,1,Delta_rep_T,3,2786.38359465939,3852.257049671025,1065.873455011635,1.382529331946461
0.0,2,Delta_rep_T,3,4906.540153654059,3483.784917763027,-1422.7552358910325,0.7100288204445936
0.0,3,Delta_rep_T,3,359.93740833888296,538.1108003631234,178.17339202424046,1.4950121546035284
0.0,4,Delta_rep_T,3,554.3792893365026,613.7584919961519,59.37920265964931,1.1071093451754233
0.0,5,Delta_rep_T,3,6601.808904146776,6781.495481964317,179.68657781754155,1.0272177793126782
0.0,6,Delta_rep_T,3,3667.7120714045595,6116.558511976618,2448.846440572059,1.6676768494627952
0.0,7,Delta_rep_T,3,406.2085118269897,1455.410243300139,1049.2017314731493,3.582914195357925
0.0,8,Delta_rep_T,3,1715.2246064908104,3437.411257004249,1722.1866505134385,2.0040589693013278
0.0,9,Delta_rep_T,3,4.427274509624112,1567.4305060377228,1563.0032315280987,354.03960215938855
0.05,0,Delta_rep_T,3,3082.972253046406,5930.892516303225,2847.9202632568195,1.9237579937486229
0.05,1,Delta_rep_T,3,2029.8048732954776,3546.343390039692,1516.5385167442146,1.74713512451177
0.05,2,Delta_rep_T,3,7284.5112766849925,5780.872318320617,-1503.6389583643759,0.7935840990215823
0.05,3,Delta_rep_T,3,1489.8123292166856,2077.766346239834,587.9540170231485,1.3946497189564027
0.05,4,Delta_rep_T,3,1180.2582584319753,2103.436989402224,923.1787309702486,1.7821836656298697
0.05,5,Delta_rep_T,3,8335.373443383665,8199.852769528981,-135.520673854684,0.9837414994330871
0.05,6,Delta_rep_T,3,4111.0930387805565,7353.018239148718,3241.9252003681613,1.7885798666648007
0.05,7,Delta_rep_T,3,2549.4394698807737,3252.7365895079565,703.2971196271828,1.2758634311329906
0.05,8,Delta_rep_T,3,3244.018615611014,4629.876691428362,1385.8580758173484,1.427204107013523
0.05,9,Delta_rep_T,3,1022.8122677265783,196.87839008920128,-825.933877637377,0.19248731786020334
0.1,0,Delta_rep_T,3,841.7539817835204,4426.053933324467,3584.2999515409465,5.258132458068663
0.1,1,Delta_rep_T,3,960.3906810676563,1021.0311377174221,60.64045664976584,1.0631414463355189
0.1,2,Delta_rep_T,3,9845.619321662642,8040.05883622187,-1805.560485440772,0.8166128075388694
0.1,3,Delta_rep_T,3,4299.761456941604,4395.142842118628,95.38138517702464,1.0221829480849547
0.1,4,Delta_rep_T,3,4075.2284449160215,4838.214475170069,762.9860302540474,1.1872253397735033
0.1,5,Delta_rep_T,3,11292.70244861627,10883.023103915271,-409.6793447009986,0.9637217622119143
