target,target_role,model_name,predictors,n_folds,mean_heldout_rmse,std_heldout_rmse,mean_heldout_r2,std_heldout_r2
Delta_rep_T,paper_aligned_prequential_gap,single_channel:null,A_rate_null_excess,4,6872.061797521113,4083.3182284623394,-3.5248950264360372,2.415203776059449
Delta_rep_T,paper_aligned_prequential_gap,single_channel:coarse,A_rate_coarse_excess,4,10047.18455011045,5659.324038729734,-19.055826495633518,32.191323028442895
Delta_rep_T,paper_aligned_prequential_gap,single_channel:task_no_qty,A_rate_task_no_qty_excess,4,9401.273493435863,4930.114175222351,-15.151933750973548,24.816473266529723
Delta_rep_T,paper_aligned_prequential_gap,single_channel:task_no_cost,A_rate_task_no_cost_excess,4,6424.936668276264,3326.650117785061,-3.28840090383257,3.399025530757268
Delta_rep_T,paper_aligned_prequential_gap,single_channel:task_no_group,A_rate_task_no_group_excess,4,7152.1838916560855,3355.49841771297,-5.420686667862823,7.1620505549231375
Delta_rep_T,paper_aligned_prequential_gap,single_channel:task,A_rate_task_excess,4,7385.713834358878,3431.1870963606048,-6.175265196309708,8.47600520362569
Delta_rep_T,paper_aligned_prequential_gap,mu_controlled:null,mu + A_rate_null_excess,4,5672.184052973236,3231.911031423731,-2.0716688020890506,1.960655378218988
Delta_rep_T,paper_aligned_prequential_gap,mu_controlled:coarse,mu + A_rate_coarse_excess,4,6845.804116111869,3582.8977529806757,-6.301729590683565,10.153252683490209
Delta_rep_T,paper_aligned_prequential_gap,mu_controlled:task_no_qty,mu + A_rate_task_no_qty_excess,4,5091.030971079081,3585.6736074133855,-1.0844464676299703,0.9826164580575274
Delta_rep_T,paper_aligned_prequential_gap,mu_controlled:task_no_cost,mu + A_rate_task_no_cost_excess,4,3503.8758716839093,1803.0220039499748,-0.05660678076198336,0.10045166825717168
Delta_rep_T,paper_aligned_prequential_gap,mu_controlled:task_no_group,mu + A_rate_task_no_group_excess,4,5342.08475442994,4350.341622170344,-1.2364053432819193,1.5554855683617956
Delta_rep_T,paper_aligned_prequential_gap,mu_controlled:task,mu + A_rate_task_excess,4,5388.226313101919,3574.758542156576,-1.4371726794558777,1.0367869480753613
Delta_rep_T,paper_aligned_prequential_gap,null_controlled:coarse,mu + A_rate_coarse_excess + A_rate_null_excess,4,6845.804116111869,3582.8977529806757,-6.301729590683565,10.153252683490209
Delta_rep_T,paper_aligned_prequential_gap,null_controlled:task_no_qty,mu + A_rate_task_no_qty_excess + A_rate_null_excess,4,5091.030971079081,3585.6736074133855,-1.0844464676299703,0.9826164580575274
Delta_rep_T,paper_aligned_prequential_gap,null_controlled:task_no_cost,mu + A_rate_task_no_cost_excess + A_rate_null_excess,4,3503.8758716839093,1803.0220039499748,-0.05660678076198336,0.10045166825717168
Delta_rep_T,paper_aligned_prequential_gap,null_controlled:task_no_group,mu + A_rate_task_no_group_excess + A_rate_null_excess,4,5342.08475442994,4350.341622170344,-1.2364053432819193,1.5554855683617956
Delta_rep_T,paper_aligned_prequential_gap,null_controlled:task,mu + A_rate_task_excess + A_rate_null_excess,4,5388.226313101919,3574.758542156576,-1.4371726794558777,1.0367869480753613
Delta_rep_T,paper_aligned_prequential_gap,combined:task_coarse_null,mu + A_rate_task_excess + A_rate_coarse_excess + A_rate_null_excess,4,6764.832882967611,3134.1251941003356,-5.603113118126224,8.215681497418803
Delta_rep_T,paper_aligned_prequential_gap,combined:task_ablation_channels,mu + A_rate_task_excess + A_rate_task_no_qty_excess + A_rate_task_no_cost_excess + A_rate_task_no_group_excess + A_rate_null_excess,4,7541.852876129184,3123.8184826452843,-5.933607559359804,4.986882925759286
V_T,within_step_population_risk_shift,single_channel:null,A_rate_null_excess,4,6373.832381341177,4693.101067033085,-3166.2544387358466,3154.384691972018
V_T,within_step_population_risk_shift,single_channel:coarse,A_rate_coarse_excess,4,9698.966058875087,6359.661488410976,-9013.545536593245,12725.679724487805
V_T,within_step_population_risk_shift,single_channel:task_no_qty,A_rate_task_no_qty_excess,4,8871.627325232386,5357.876357549409,-7081.89003561014,9250.857747484377
V_T,within_step_population_risk_shift,single_channel:task_no_cost,A_rate_task_no_cost_excess,4,5081.285950433268,2905.240995595415,-1846.6685520617102,1554.6305566482872
V_T,within_step_population_risk_shift,single_channel:task_no_group,A_rate_task_no_group_excess,4,6108.681520521781,3167.2711120871663,-2792.5660646061574,2559.0455243643487
V_T,within_step_population_risk_shift,single_channel:task,A_rate_task_excess,4,6356.903502899931,3293.9237689554966,-3074.9490358928356,2929.690637749666
V_T,within_step_population_risk_shift,mu_controlled:null,mu + A_rate_null_excess,4,3909.853021386528,2593.61142520415,-1118.6444070191696,1081.2707401235361
