target,target_role,model_name,predictors,n,r2_in_sample,rmse_in_sample,intercept,coefficients
Delta_rep_T,paper_aligned_prequential_gap,single_channel:blind,A_rate_blind_excess,40,0.5287688112031832,4305.503476710071,557.3415709817991,A_rate_blind_excess=1200206.081
Delta_rep_T,paper_aligned_prequential_gap,single_channel:coarse,A_rate_coarse_excess,40,0.3491118607875777,5060.111768290486,670.7562970891158,A_rate_coarse_excess=153489.233
Delta_rep_T,paper_aligned_prequential_gap,single_channel:task_no_qty,A_rate_task_no_qty_excess,40,0.3819084068749895,4930.981227608534,525.3199189482502,A_rate_task_no_qty_excess=141853.5739
Delta_rep_T,paper_aligned_prequential_gap,single_channel:task_no_cost,A_rate_task_no_cost_excess,40,0.5265213952387247,4315.758260140318,695.4625503476327,A_rate_task_no_cost_excess=113070.2954
Delta_rep_T,paper_aligned_prequential_gap,single_channel:task_no_group,A_rate_task_no_group_excess,40,0.4999604657887523,4435.158060049997,422.68243515080576,A_rate_task_no_group_excess=104515.8467
Delta_rep_T,paper_aligned_prequential_gap,single_channel:task,A_rate_task_excess,40,0.495045783257993,4456.900436953774,364.2330948566305,A_rate_task_excess=102511.4021
Delta_rep_T,paper_aligned_prequential_gap,mu_controlled:blind,mu + A_rate_blind_excess,40,0.6122723674230441,3905.4430350147773,1804.4521455772556,mu=146321.2036; A_rate_blind_excess=-1607088.812
Delta_rep_T,paper_aligned_prequential_gap,mu_controlled:coarse,mu + A_rate_coarse_excess,40,0.6498202648303453,3711.5253897180264,2850.1908284786305,mu=111927.9573; A_rate_coarse_excess=-158337.2883
Delta_rep_T,paper_aligned_prequential_gap,mu_controlled:task_no_qty,mu + A_rate_task_no_qty_excess,40,0.6427812554635889,3748.6427250414226,2718.1056959155776,mu=114493.2671; A_rate_task_no_qty_excess=-144979.9047
Delta_rep_T,paper_aligned_prequential_gap,mu_controlled:task_no_cost,mu + A_rate_task_no_cost_excess,40,0.6739707139756905,3581.2549310689806,2719.9838688160407,mu=280502.3856; A_rate_task_no_cost_excess=-398808.4393
Delta_rep_T,paper_aligned_prequential_gap,mu_controlled:task_no_group,mu + A_rate_task_no_group_excess,40,0.6449870280048509,3737.0511480259493,2719.4647481970087,mu=174711.5376; A_rate_task_no_group_excess=-194725.6648
Delta_rep_T,paper_aligned_prequential_gap,mu_controlled:task,mu + A_rate_task_excess,40,0.6361038509889712,3783.5167471951345,2591.2278153240504,mu=156558.3083; A_rate_task_excess=-160807.5089
Delta_rep_T,paper_aligned_prequential_gap,blind_controlled:coarse,mu + A_rate_coarse_excess + A_rate_blind_excess,40,0.6539289523458821,3689.687328067701,2907.9957981080797,mu=74661.93561; A_rate_coarse_excess=-211188.1608; A_rate_blind_excess=1045431.472
Delta_rep_T,paper_aligned_prequential_gap,blind_controlled:task_no_qty,mu + A_rate_task_no_qty_excess + A_rate_blind_excess,40,0.6446071445170822,3739.0500390027787,2748.531208946765,mu=91066.79932; A_rate_task_no_qty_excess=-178575.8308; A_rate_blind_excess=689249.4714
Delta_rep_T,paper_aligned_prequential_gap,blind_controlled:task_no_cost,mu + A_rate_task_no_cost_excess + A_rate_blind_excess,40,0.702765159288765,3419.454175131694,2594.39199177086,mu=318298.4562; A_rate_task_no_cost_excess=-766025.9055; A_rate_blind_excess=3172581.731
Delta_rep_T,paper_aligned_prequential_gap,blind_controlled:task_no_group,mu + A_rate_task_no_group_excess + A_rate_blind_excess,40,0.6515863327744338,3702.1543571380353,2832.822398278713,mu=156783.1112; A_rate_task_no_group_excess=-298209.207; A_rate_blind_excess=1505782.622
Delta_rep_T,paper_aligned_prequential_gap,blind_controlled:task,mu + A_rate_task_excess + A_rate_blind_excess,40,0.6370007378072241,3778.8512955433293,2615.508022630395,mu=147943.894; A_rate_task_excess=-189937.752; A_rate_blind_excess=497775.3735
Delta_rep_T,paper_aligned_prequential_gap,combined:task_coarse_blind,mu + A_rate_task_excess + A_rate_coarse_excess + A_rate_blind_excess,40,0.6615637670639134,3648.7604937752208,2876.1535922642606,mu=-4756.783644; A_rate_task_excess=285091.2779; A_rate_coarse_excess=-438066.2891; A_rate_blind_excess=735674.9821
Delta_rep_T,paper_aligned_prequential_gap,combined:task_ablation_channels,mu + A_rate_task_excess + A_rate_task_no_qty_excess + A_rate_task_no_cost_excess + A_rate_task_no_group_excess + A_rate_blind_excess,40,0.7283498637521097,3268.977221839874,2704.0383792481616,mu=302859.4651; A_rate_task_excess=879884.729; A_rate_task_no_qty_excess=-86125.49692; A_rate_task_no_cost_excess=-691359.5312; A_rate_task_no_group_excess=-1011612.418; A_rate_blind_excess=4623202.508
V_T,within_step_population_risk_shift,single_channel:blind,A_rate_blind_excess,40,0.825372887401776,2369.487215774302,-532.284492907027,A_rate_blind_excess=1355625.124
V_T,within_step_population_risk_shift,single_channel:coarse,A_rate_coarse_excess,40,0.5900333308438124,3630.5532248412846,-674.1241392368784,A_rate_coarse_excess=180395.4125
V_T,within_step_population_risk_shift,single_channel:task_no_qty,A_rate_task_no_qty_excess,40,0.6330300852720787,3434.8973566555983,-776.3678668062594,A_rate_task_no_qty_excess=165106.6063
V_T,within_step_population_risk_shift,single_channel:task_no_cost,A_rate_task_no_cost_excess,40,0.8551622694644632,2157.9401175020507,-509.22488654501194,A_rate_task_no_cost_excess=130273.5905
V_T,within_step_population_risk_shift,single_channel:task_no_group,A_rate_task_no_group_excess,40,0.8062937481257266,2495.5734247491173,-798.5023467934079,A_rate_task_no_group_excess=119992.074
V_T,within_step_population_risk_shift,single_channel:task,A_rate_task_excess,40,0.7932211461905788,2578.407733680888,-842.6263994591254,A_rate_task_excess=117310.8644
V_T,within_step_population_risk_shift,mu_controlled:blind,mu + A_rate_blind_excess,40,0.9818724031893838,763.4289940556499,1011.1939830423762,mu=181093.5076; A_rate_blind_excess=-2118805.556
V_T,within_step_population_risk_shift,mu_controlled:coarse,mu + A_rate_coarse_excess,40,0.9913852348564414,526.2841060496817,1602.1539135481562,mu=116901.4939; A_rate_coarse_excess=-145287.1701
V_T,within_step_population_risk_shift,mu_controlled:task_no_qty,mu + A_rate_task_no_qty_excess,40,0.9880677607365005,619.3833260827522,1536.2857413205984,mu=120751.9996; A_rate_task_no_qty_excess=-137406.5194
V_T,within_step_population_risk_shift,mu_controlled:task_no_cost,mu + A_rate_task_no_cost_excess,40,0.995094884396006,397.1212775420582,1273.7780011863852,mu=247039.4157; A_rate_task_no_cost_excess=-320539.7715
V_T,within_step_population_risk_shift,mu_controlled:task_no_group,mu + A_rate_task_no_group_excess,40,0.9910670467563634,535.9151860947776,1545.2259712228424,mu=178282.6243; A_rate_task_no_group_excess=-185365.9047
V_T,within_step_population_risk_shift,mu_controlled:task,mu + A_rate_task_excess,40,0.9885714379749826,606.1698454145281,1526.6670669879768,mu=166561.9471; A_rate_task_excess=-162833.3899
V_T,within_step_population_risk_shift,blind_controlled:coarse,mu + A_rate_coarse_excess + A_rate_blind_excess,40,0.9943688486646504,425.49761763115106,1557.6214698211288,mu=145610.9115; A_rate_coarse_excess=-104571.3196; A_rate_blind_excess=-805391.2755
V_T,within_step_population_risk_shift,blind_controlled:task_no_qty,mu + A_rate_task_no_qty_excess + A_rate_blind_excess,40,0.9922480127607881,499.2350378470905,1494.6665581014304,mu=152797.1603; A_rate_task_no_qty_excess=-91450.51524; A_rate_blind_excess=-942827.1598
V_T,within_step_population_risk_shift,blind_controlled:task_no_cost,mu + A_rate_task_no_cost_excess + A_rate_blind_excess,40,0.9957348128887268,370.311822423505,1290.7043980400904,mu=241945.525; A_rate_task_no_cost_excess=-271048.7637; A_rate_blind_excess=-427578.4286
V_T,within_step_population_risk_shift,blind_controlled:task_no_group,mu + A_rate_task_no_group_excess + A_rate_blind_excess,40,0.9925741131531743,488.62163990737764,1496.2526522835233,mu=186028.1496; A_rate_task_no_group_excess=-140658.4455; A_rate_blind_excess=-650535.474
V_T,within_step_population_risk_shift,blind_controlled:task,mu + A_rate_task_excess + A_rate_blind_excess,40,0.9921130276144459,503.5628622603507,1483.048208926787,mu=182037.5527; A_rate_task_excess=-110501.5493; A_rate_blind_excess=-894242.5034
V_T,within_step_population_risk_shift,combined:task_coarse_blind,mu + A_rate_task_excess + A_rate_coarse_excess + A_rate_blind_excess,40,0.9944200741155722,423.5578630468285,1555.2634991879231,mu=139729.8175; A_rate_task_excess=21111.50416; A_rate_coarse_excess=-121372.0389; A_rate_blind_excess=-828329.2815
V_T,within_step_population_risk_shift,combined:task_ablation_channels,mu + A_rate_task_excess + A_rate_task_no_qty_excess + A_rate_task_no_cost_excess + A_rate_task_no_group_excess + A_rate_blind_excess,40,0.9977388338621178,269.62786312497525,1476.9021518362442,mu=224041.473; A_rate_task_excess=-657.5383672; A_rate_task_no_qty_excess=-11566.22454; A_rate_task_no_cost_excess=-198275.8309; A_rate_task_no_group_excess=-57209.87796; A_rate_blind_excess=-128443.0735
Delta_sam_T,same_time_sampling_gap,single_channel:blind,A_rate_blind_excess,40,0.09305603055091094,2358.087631391814,2711.0031375178205,A_rate_blind_excess=198773.255
Delta_sam_T,same_time_sampling_gap,single_channel:coarse,A_rate_coarse_excess,40,0.06416579584419924,2395.3510416692,2708.3608547887434,A_rate_coarse_excess=25978.26767
Delta_sam_T,same_time_sampling_gap,single_channel:task_no_qty,A_rate_task_no_qty_excess,40,0.0699363908809909,2387.954445588288,2685.6206906088073,A_rate_task_no_qty_excess=23964.86914
Delta_sam_T,same_time_sampling_gap,single_channel:task_no_cost,A_rate_task_no_cost_excess,40,0.0811752124706202,2373.4826590360103,2796.1079506999563,A_rate_task_no_cost_excess=17527.2997
