round,mu,seed,train_mse,eval_mse_current,eval_mse_next,delta_rep,v_t,sampling_candidate
0,0.0,0,308067.68125991005,336875.0895387784,338924.5070601763,2049.417521397874,2049.417521397874,23043.042637783336
1,0.0,0,315631.7594750935,317437.64938079,319733.6459591891,2295.996578399092,2295.996578399092,1444.5311321751797
2,0.0,0,324491.3213148218,291895.14247063757,294482.41466538544,2587.2721947478713,2587.2721947478713,26073.679786262685
3,0.0,0,320082.62438941054,316603.67536185443,317550.26355939166,946.5881975372322,946.5881975372322,2782.810935319634
4,0.0,0,318789.21098792384,332306.3235163793,334007.85300098796,1701.5294846086763,1701.5294846086763,10812.336789123598
5,0.0,0,320964.3628719812,329617.32759704284,331750.32496805105,2132.997371008212,2132.997371008212,6921.505509021867
6,0.0,0,323685.39899001736,332085.10466613225,334793.3991396316,2708.2944734993507,2708.2944734993507,6718.923624293122
7,0.0,0,327727.3951992163,329687.4117110208,331233.86699609243,1546.4552850716282,1546.4552850716282,1567.816987042199
8,0.0,0,327959.4808537085,334144.35658934625,334323.4865839227,179.12999457644764,179.12999457644764,4947.281404354377
9,0.0,0,328040.19223377394,338740.28718020726,342294.4229746225,3554.135794415255,3554.135794415255,8559.004742535588
10,0.0,0,323935.6669112793,367714.59996439016,371240.91414875496,3526.3141843648045,3526.3141843648045,35018.76361850643
11,0.0,0,335377.4666806653,331307.72372948896,333585.0667939303,2277.3430644413456,2277.3430644413456,3255.3869282841915
12,0.0,0,336183.8339317917,334019.0620686552,336278.469971834,2259.4079031787696,2259.4079031787696,1731.600769511715
13,0.0,0,336475.2724436871,339452.9567227836,341061.44439497613,1608.4876721925102,1608.4876721925102,2381.8493194825132
14,0.0,0,333016.8205897541,360259.6457275696,362618.75633921556,2359.1106116459705,2359.1106116459705,21791.532759469002
15,0.0,0,347578.8896149164,308548.4707746022,308439.378871327,109.0919032752281,109.0919032752281,31220.42763449985
16,0.0,0,340304.1779051244,344166.9762449432,347150.44437499903,2983.468130055815,2983.468130055815,3089.851956966857
17,0.0,0,332505.9726263445,386654.484433501,387742.89230014465,1088.4078666436253,1088.4078666436253,43313.38849597605
18,0.0,0,339895.17247111315,366538.5471385035,368959.8154378434,2421.268299339863,2421.268299339863,21312.03239568998
