target,channel,predictor,n,pearson,spearman,slope,intercept,r2_in_sample
V_T,null,A_rate_null,40,0.0,0.0,0.0,7315.520105110899,0.0
V_T,coarse,A_rate_coarse,40,0.7810090089053945,0.9583489681050659,218570.8411899978,-2335.776368456488,0.6099750719913861
V_T,task_no_qty,A_rate_task_no_qty,40,0.8119779938138763,0.9523452157598502,199717.33739347945,-4715.362338092377,0.6593082624380068
V_T,task_no_cost,A_rate_task_no_cost,40,0.9256666225647,0.9499061913696062,152198.1410576275,-6031.117304346991,0.8568586961303383
V_T,task_no_group,A_rate_task_no_group,40,0.9063052857542624,0.9354596622889307,142863.34926596508,-6466.232391041481,0.8213892709861151
V_T,task,A_rate_task,40,0.9018323360340674,0.9392120075046907,139164.89824061038,-8066.373869859387,0.8133015623166631
Delta_rep_T,null,A_rate_null,40,0.0,0.0,0.0,7122.62747421673,0.0
Delta_rep_T,coarse,A_rate_coarse,40,0.615995910379769,0.6664165103189494,176627.77120166388,-676.6149867245595,0.3794509616046
Delta_rep_T,task_no_qty,A_rate_task_no_qty,40,0.6356512983139931,0.6206378986866793,160190.00920432102,-2527.1465237003813,0.40405257304826514
Delta_rep_T,task_no_cost,A_rate_task_no_cost,40,0.7532618046942041,0.6288930581613509,126895.33884642951,-4005.143632345771,0.5674033464111692
Delta_rep_T,task_no_group,A_rate_task_no_group,40,0.7314918210610616,0.5894934333958725,118141.03432580798,-4274.210854741716,0.5350802842792277
Delta_rep_T,task,A_rate_task,40,0.720598247791128,0.5806754221388368,113931.04596762147,-5470.169212929635,0.5192618347196442
