mu,seed,Rhat_T,R_T,Rplus_T,Delta_rep_T,V_T,A_T_null,A_T_coarse,A_T_task_no_qty,A_T_task_no_cost,A_T_task_no_group,A_T_task,A_rate_null,A_rate_coarse,A_rate_task_no_qty,A_rate_task_no_cost,A_rate_task_no_group,A_rate_task
0.0,0,331894.62820592424,326754.21064877405,328182.6952429,3711.932963024243,1428.484594125984,0.0,0.11132849389652108,0.3077250184234558,0.6473827822303749,0.7083797538634617,0.9255278038039247,0.0,0.005859394415606373,0.016196053601234515,0.03407277801212499,0.0372831449401822,0.048711989673890774
0.0,1,332510.3525069291,328695.8706556062,330304.44835541263,2205.9041515164427,1608.5776998063513,0.0,0.1130897455005107,0.34506463883372895,0.6661174114177819,0.7209703103161905,0.9604847714140919,0.0,0.005952091868447931,0.018161296780722577,0.03505881112725168,0.03794580580611529,0.050551830074425895
0.0,2,323806.16625323775,327995.85981614544,329486.00407507364,5679.837821835885,1490.144258928179,0.0,0.1113103368967059,0.30982152105011956,0.6485921382777058,0.6916591606706026,0.9150692550624404,0.0,0.005858438784037153,0.016306395844743134,0.03413642833040557,0.0364031137195054,0.04816153974012844
0.0,3,327892.7319412796,326998.0999681637,328423.35658799746,530.6246467178571,1425.2566198336763,0.0,0.0947076159366735,0.33754385700549955,0.6429334117046303,0.7409875262184367,0.95472229195324,0.0,0.004984611365088079,0.017765466158184185,0.03383860061603317,0.03899934348518088,0.05024854168174947
0.0,4,329090.0170029795,326008.14958219463,327378.6584510209,1711.358551958634,1370.5088688263816,0.0,0.09600568472506164,0.32385985145762053,0.6505107837979637,0.7158946211907098,0.9364343337618898,0.0,0.0050529307750032445,0.017045255339874766,0.03423740967357704,0.03767866427319525,0.04928601756641525
0.0,5,321667.4287080941,327951.96556323767,329560.5365864156,7893.107878321491,1608.571023177904,0.0,0.1309350174720641,0.3568849169145507,0.6719415121938187,0.707532767362338,0.9477768467188012,0.0,0.0068913167090560055,0.018783416679713196,0.03536534274704309,0.03723856670328095,0.04988299193256849
0.0,6,333102.9969251854,328309.3947839753,329844.717127755,3258.279797430383,1535.3223437796023,0.0,0.10475451500872211,0.366972223268106,0.6568669408393885,0.7292443331089354,0.9529964655443839,0.0,0.005513395526774848,0.019314327540426633,0.034571944254704653,0.038381280689943974,0.05015770871286231
0.0,7,325537.53763877135,325566.7353463154,326833.27947915957,1295.7418403882184,1266.544132844211,0.0,0.09842203951033911,0.34585343941264757,0.6781837176244702,0.7410120893322825,1.0001828709911598,0.0,0.005180107342649427,0.018202812600665662,0.03569387987497211,0.03900063628064645,0.05264120373637683
0.0,8,326042.50477766717,326711.11485955573,328193.990952933,2151.4861752658035,1482.8760933772612,0.0,0.1112782536102304,0.33432793327248533,0.6620035144131485,0.7397129449535348,0.9688457743168516,0.0,0.005856750190012127,0.017596207014341333,0.03484229023227098,0.03893226026071236,0.050991882858781666
0.0,9,329006.59481082374,327038.5783174296,328612.4965333008,394.0982775229495,1573.9182158712372,0.0,0.10490087119609752,0.30785923323913683,0.6603984792897855,0.7427477866678228,0.9633299670231665,0.0,0.005521098484005132,0.01620311753890194,0.034757814699462396,0.039091988771990674,0.050701577211745605
0.05,0,346971.2551065188,341424.7417821842,344135.52551244287,2835.729594075936,3307.8163887179107,0.0,0.8172058333286917,1.100088959905905,1.3086418548529675,1.5405369961402324,1.8085682053169247,0.0,0.043010833333089034,0.05789941894241605,0.06887588709752461,0.08108089453369645,0.09518780027983814
0.05,1,349549.87696377665,344617.4592115704,347568.7949142707,1981.0820495059597,3348.0788218981684,0.0,0.8484975371821427,1.1188505971352682,1.312224516281696,1.526457896209876,1.8431466471786182,0.0,0.04465776511484962,0.05888687353343517,0.06906444822535242,0.080339889274204,0.09700771827255886
0.05,2,336327.5217812501,341725.30520567717,344275.4075994123,7947.8858181622345,3463.870867735703,0.0,0.8190918084201751,1.1370741974247642,1.3168051348102758,1.5650669460706566,1.8518108343065374,0.0,0.04311009518000922,0.05984601039077706,0.06930553341106716,0.08237194453003456,0.0974637281213967
0.05,3,341323.6010372687,340779.4687462814,343687.0650439662,2363.464006697526,2909.076032300982,0.0,0.8118797643070166,1.0689662339182404,1.2981096785714394,1.4919754730380501,1.792767600486463,0.0,0.04273051391089561,0.05626138073253897,0.06832156203007576,0.07852502489673947,0.09435618949928752
0.05,4,339160.09918745013,336965.71061758325,339006.48296187166,153.61622557847295,2655.010989512277,0.0,0.8150686205021374,1.1182562536214788,1.2858001166535045,1.5337170847431392,1.8172631454726842,0.0,0.042898348447480916,0.05885559229586731,0.06767369035018445,0.08072195182858627,0.09564542870908864
0.05,5,336581.7978846119,342367.0595208611,345118.2258699148,8536.42798530293,3023.334745211248,0.0,0.7749292647683477,1.0136232894931358,1.2167917631755192,1.3567170923783565,1.6025391220373355,0.0,0.04078575077728146,0.053348594183849254,0.06404167174607996,0.0714061627567556,0.0843441643177545
0.05,6,345246.4889920349,339470.93283997895,342139.98155256803,3106.507439466892,2954.4057625405167,0.0,0.7528883085686792,1.0554243410523845,1.290826787748652,1.5313879652961238,1.7843334173693945,0.0,0.03962570045098311,0.05554864952907287,0.06793825198677116,0.08059936659453283,0.09391228512470498
0.05,7,336477.2997433719,336787.55657982937,339046.73926098354,2569.4395176116377,2831.9125610179494,0.0,0.8282458391319519,1.1108708455323844,1.272266256632376,1.5116893771289728,1.8838277362750637,0.0,0.043591886270102735,0.0584668866069676,0.06696138192801979,0.07956259879626172,0.09914882822500336
0.05,8,338022.7010033954,338761.04451036773,341108.5119396689,3085.810936273483,2829.791183209782,0.0,0.81403997979251,1.0878246120289998,1.3165623432901103,1.5895252638332211,1.883542325505526,0.0,0.04284420946276368,0.05725392694889473,0.0692927549100058,0.0836592244122748,0.099133806605554
0.05,9,345680.20555934234,341713.7911933657,344952.8177685337,727.3877908086288,3239.0265751679603,0.0,0.8417574858863841,1.0787047941278651,1.3004912386997254,1.524332518995425,1.7897012190275305,0.0,0.044303025572967586,0.056773936533045535,0.06844690729998555,0.08022802731554869,0.09419480100144897
0.1,0,352181.91919989994,346344.6763235147,351662.8576479719,519.0615519280545,5796.361590887111,0.0,1.079394101184143,1.3648879682503638,1.9296816126215173,2.1502164892001465,2.4278124772873753,0.0,0.056810215851797,0.0718362088552823,0.10156219013797459,0.11316928890527087,0.1277796040677566
0.1,1,356825.2775506394,351692.4412292411,357481.16439913725,655.8868484978448,6344.6635060747285,0.0,1.0826144094595882,1.3958832616404602,1.9005764375160958,2.071572769249947,2.3474155535019916,0.0,0.05697970576103096,0.07346754008634,0.10003033881663663,0.10903014574999721,0.1235481870264206
0.1,2,340281.3643778378,346100.93160053616,351308.098789664,11026.734411826183,5332.632121185481,0.0,1.1149733398590143,1.4243040135040452,2.0010558325890435,2.1675035757867622,2.3915835775814145,0.0,0.058682807361000754,0.07496336913179186,0.10531872803100228,0.11407913556772432,0.12587281987270602
0.1,3,344033.89445444813,343923.8890090717,349705.37325549213,5671.478801043995,6332.967363871701,0.0,1.088607138104229,1.3570307272215174,1.9103204530968685,2.0878349734824253,2.376151113988935,0.0,0.05729511253180153,0.07142266985376407,0.10054318174194045,0.10988605123591712,0.12506058494678604
