round,mu,seed,delta_rep,v_t,observable_fr_step,channel,channel_label,observable_fr_step_z_within_channel
0,0.0,0,2049.417521397874,2175.40706798929,0.005368633001285966,blind,Weak blind,-0.4577830099469915
1,0.0,0,2295.996578399092,2026.9148217152688,0.0008671898517785499,blind,Weak blind,-1.2233095521727582
2,0.0,0,2587.2721947478713,1467.119756124972,0.0031262582689004816,blind,Weak blind,-0.8391267964269635
3,0.0,0,946.5881975372322,2016.3943652468733,0.002503295666222983,blind,Weak blind,-0.9450693555850982
4,0.0,0,1701.5294846086763,1363.747726705973,0.001804998858158961,blind,Weak blind,-1.0638234358144656
5,0.0,0,2132.997371008212,2586.1994629488327,0.0034319795029719756,blind,Weak blind,-0.7871350881168507
6,0.0,0,2708.2944734993507,2686.171513940557,0.002502792432629427,blind,Weak blind,-0.9451549367331904
7,0.0,0,1546.4552850716282,1168.5679203081527,0.002452417515341496,blind,Weak blind,-0.9537218196117532
8,0.0,0,179.12999457644764,857.6898012722959,0.006152545573825103,blind,Weak blind,-0.32446890130855216
9,0.0,0,3554.135794415255,2535.2497075904394,0.003358314266022078,blind,Weak blind,-0.7996627802927849
10,0.0,0,3526.3141843648045,1906.9641728828428,0.002961529992645092,blind,Weak blind,-0.8671408940263964
11,0.0,0,2277.3430644413456,1218.035674598068,0.0018050396873643161,blind,Weak blind,-1.06381649229894
12,0.0,0,2259.4079031787696,1288.5040057415608,0.0037803407913369912,blind,Weak blind,-0.7278919068369615
13,0.0,0,1608.4876721925102,1350.6962754435954,0.0015020317812999297,blind,Weak blind,-1.1153467653452456
14,0.0,0,2359.1106116459705,1452.9557517949142,0.0034318372867829824,blind,Weak blind,-0.7871592737532771
15,0.0,0,109.0919032752281,1139.8157495020423,0.00274303931380203,blind,Weak blind,-0.9042979586228008
16,0.0,0,2983.468130055815,2391.138524108217,0.0025030504853675675,blind,Weak blind,-0.9451110516470571
17,0.0,0,1088.4078666436253,1739.3637044834904,0.003973905312932651,blind,Weak blind,-0.6949738461188282
18,0.0,0,2421.268299339863,1958.608102703467,0.003973221619369404,blind,Weak blind,-0.6950901167351686
0,0.0,1,1469.473424712778,1073.5751101236674,0.004827659415061462,blind,Weak blind,-0.5497823144240979
1,0.0,1,1821.5300053723622,1485.434142846032,0.002552939789360483,blind,Weak blind,-0.936626753365088
2,0.0,1,915.8334974957397,1525.433097880974,0.004066649635199739,blind,Weak blind,-0.6792015175614932
3,0.0,1,2493.9229415628943,1376.443759797723,0.0037127209919421153,blind,Weak blind,-0.739391496967834
4,0.0,1,1037.3225025477586,1119.8270500552026,0.001939031213776841,blind,Weak blind,-1.041029562308864
5,0.0,1,1817.2913545828196,913.8246782959905,0.0021239500128676122,blind,Weak blind,-1.0095818145180269
6,0.0,1,670.8688557560672,1202.592844599043,0.0034317260615732894,blind,Weak blind,-0.7871781889872048
