round,mu,seed,empirical_loss,preq_target,v_t,fr_step_null,fr_step_coarse,fr_step_task_no_qty,fr_step_task_no_cost,fr_step_task_no_group,fr_step_task
0,0.0,0,315490.42253039224,315393.48977336416,1502.7299087828724,0.0,0.002500915791100608,0.013652574202195861,0.19431463552078523,0.1917367570272474,0.2006232789874325
1,0.0,0,316524.72644000617,316432.50422055443,1071.7737156261574,0.0,0.0035377849133098383,0.012775877406883922,0.03663180193764416,0.03630330913342885,0.04553947013472497
2,0.0,0,289179.4637581072,318308.92747538787,1895.3934822907904,0.0,0.0037287095250006924,0.022964330360917242,0.02982438306148646,0.03901118585108179,0.05797758103138613
3,0.0,0,311062.24959324417,320053.8959509832,1792.3011874171207,0.0,0.0024115090728688508,0.007138774285333482,0.020222046972144494,0.022684069990432165,0.03277645915952498
4,0.0,0,331532.1359561255,320850.9498443848,736.0867710050079,0.0,0.007482942293603588,0.009662578141276012,0.024948120127929966,0.02477886325411693,0.03442654931618744
5,0.0,0,328756.17979207553,321578.997976408,889.6032849579351,0.0,0.011326248307179028,0.022740683364956927,0.0326624368425548,0.02824426138287532,0.04298437529870733
6,0.0,0,324723.5442516443,323651.48278397566,2002.96759386739,0.0,0.005568494332198541,0.022631043812032833,0.025470057790338948,0.02796507484203332,0.042213348586904176
7,0.0,0,331768.9824589682,325330.0425593927,1582.6367664658464,0.0,0.008852328411862877,0.015433145918015659,0.023450717266211462,0.029688127740575207,0.0438549583052868
8,0.0,0,326960.9955783665,327227.1212955436,1985.1873006118112,0.0,0.007351294027614428,0.011558371503387668,0.02518625264418703,0.03278418489046348,0.039297332548859136
9,0.0,0,324797.6716842935,328183.8036124867,841.8653296965058,0.0,0.005883434585814814,0.015858922541324177,0.025760609737808825,0.024424581682231064,0.03636780439163191
10,0.0,0,366859.60891704785,329792.60757940117,1587.1127012036159,0.0,0.005562608428452336,0.014901037375345184,0.024369241754994577,0.020449209358196597,0.03559586800925416
11,0.0,0,338929.9148136636,330808.447905089,1124.9668226819485,0.0,0.003952453871844438,0.014834050390755842,0.022070916227345645,0.02879136856237652,0.038850385529451255
12,0.0,0,328952.11047150753,333118.34833695705,2288.5497869346873,0.0,0.0032355978618352163,0.026210239346415427,0.024584133410703958,0.03406820993229649,0.046159663111184905
13,0.0,0,333144.1102781035,334025.55416907655,897.6445855341735,0.0,0.0008844983776606489,0.013309057217677611,0.02726446516278868,0.025073605640295888,0.03716109139726687
14,0.0,0,359365.08782191924,336029.45926907595,1931.8995592347928,0.0,0.007765343018023985,0.012162843808688742,0.02185256553229158,0.020804387837303165,0.030280889819526414
15,0.0,0,309811.5003583916,336699.4584863595,855.4617130706902,0.0,0.004785523935930322,0.01232795529231332,0.022297167381822715,0.02747312280488726,0.03976772282739316
16,0.0,0,332527.54078355205,337942.6314165792,1045.2888875140925,0.0,0.00998809790586735,0.016762567749766397,0.026231280879874568,0.03282807854926033,0.042791588223483036
17,0.0,0,375573.60193975555,339003.0289964577,1250.833707863174,0.0,0.00763616130699104,0.016522902569590395,0.020993030661003224,0.025830142948964522,0.03764109470773101
18,0.0,0,360038.088485396,341040.4579636233,1858.9041836350807,0.0,0.008874547929362478,0.026278063136579096,0.019248919318458662,0.0354412124353955,0.041218342417988545
0,0.0,1,296216.5899807804,315598.6083485895,1780.7453036968363,0.0,0.0035400419005948472,0.0115668929121032,0.1841128067087674,0.1879246829497347,0.19322616876731918
1,0.0,1,325127.17857507535,317462.2680010394,1905.5114039220498,0.0,0.003359678480045528,0.009844328481538541,0.03249031651473929,0.032925568638669384,0.04789675597397515
2,0.0,1,320382.6282124503,318981.62399493216,1452.0804315975402,0.0,0.007349501530807906,0.021441111050607947,0.03094676508357981,0.04167663896218658,0.0526491484048347
3,0.0,1,307175.08460298093,320622.8584931444,1753.0103662978509,0.0,0.006564869891668388,0.01543104299066051,0.02770779190871141,0.026316543086053686,0.04110571602930887
4,0.0,1,329784.74924802314,322574.0165644209,1767.9212064228486,0.0,0.005657800827029504,0.01815861238632896,0.028357943062956845,0.025122558557635233,0.0407263709227718
5,0.0,1,321385.3243871769,323625.20240650384,1133.1126466766582,0.0,0.0028774267184718365,0.01021967418065266,0.027309673318522864,0.025989252500954057,0.03979792975472115
6,0.0,1,334205.8427621493,324718.2261835978,1087.6464726820122,0.0,0.003996056594334007,0.0177539504542056,0.02523669409858368,0.02906578661559013,0.038105199906303996
7,0.0,1,325048.6731219717,327372.32208165614,2660.7619595815777,0.0,0.005585316477496298,0.015380154925357726,0.033271177012753006,0.029692866828373687,0.04839860692287655
