mu,target,target_role,channel,predictor,n_steps,pearson,spearman,slope
0.05,v_t,within_step_risk_shift,blind,fr_step_blind,190,0.6592848832795141,0.6461660258849569,544638.614024646
0.05,v_t,within_step_risk_shift,coarse,fr_step_coarse,190,0.800456383434473,0.8064480573160652,65545.80890907602
0.05,v_t,within_step_risk_shift,task,fr_step_task,190,0.5478050424526524,0.603793077807958,27575.355599328395
0.05,v_t,within_step_risk_shift,task_no_cost,fr_step_task_no_cost,190,0.5757263315283611,0.6806921317254744,25147.961147897357
0.05,v_t,within_step_risk_shift,task_no_group,fr_step_task_no_group,190,0.5398497639822675,0.5727556237889664,25802.910221311762
0.05,v_t,within_step_risk_shift,task_no_qty,fr_step_task_no_qty,190,0.7520028595597729,0.7308121962847783,68912.33727796467
0.05,eval_within_step_drift,diagnostic_heldout_step_shift,blind,fr_step_blind,190,0.5014561293259869,0.4675502018571735,430934.61226265243
0.05,eval_within_step_drift,diagnostic_heldout_step_shift,coarse,fr_step_coarse,190,0.5951662780586137,0.6274840679359832,50697.750990461915
0.05,eval_within_step_drift,diagnostic_heldout_step_shift,task,fr_step_task,190,0.5357214248144075,0.4660070770293973,28052.865782435973
0.05,eval_within_step_drift,diagnostic_heldout_step_shift,task_no_cost,fr_step_task_no_cost,190,0.5361611483272715,0.5079251357013826,24362.685059528143
0.05,eval_within_step_drift,diagnostic_heldout_step_shift,task_no_group,fr_step_task_no_group,190,0.5211730264827795,0.4347159346883789,25913.186968728995
0.05,eval_within_step_drift,diagnostic_heldout_step_shift,task_no_qty,fr_step_task_no_qty,190,0.564952354296733,0.5674684092430029,53855.79402573418
0.05,mean_abs_delta_y,target_motion,blind,fr_step_blind,190,0.7403440561771936,0.7420637107603215,3994.7703267159886
0.05,mean_abs_delta_y,target_motion,coarse,fr_step_coarse,190,0.8954819868924536,0.9413192667532706,478.9465173512375
0.05,mean_abs_delta_y,target_motion,task,fr_step_task,190,0.5632149074951461,0.7159198169944934,185.17917622556212
0.05,mean_abs_delta_y,target_motion,task_no_cost,fr_step_task_no_cost,190,0.6157209682287218,0.8610487825147511,175.6683579431918
0.05,mean_abs_delta_y,target_motion,task_no_group,fr_step_task_no_group,190,0.570609573528302,0.7190515555905472,178.1384788948002
0.05,mean_abs_delta_y,target_motion,task_no_qty,fr_step_task_no_qty,190,0.8472400184966681,0.8315212114054771,507.1154699822296
0.05,mean_abs_delta_pred,prediction_motion,blind,fr_step_blind,190,0.6786434790776473,0.7156801252695438,1390.3301538702501
0.05,mean_abs_delta_pred,prediction_motion,coarse,fr_step_coarse,190,0.816463623335954,0.917668516841843,165.80019833233044
0.05,mean_abs_delta_pred,prediction_motion,task,fr_step_task,190,0.49156216444573414,0.6790877717854847,61.364117733181736
0.05,mean_abs_delta_pred,prediction_motion,task_no_cost,fr_step_task_no_cost,190,0.546869683830489,0.809962952757111,59.23951401035153
0.05,mean_abs_delta_pred,prediction_motion,task_no_group,fr_step_task_no_group,190,0.4997237771666641,0.675020010759884,59.23341065299415
0.05,mean_abs_delta_pred,prediction_motion,task_no_qty,fr_step_task_no_qty,190,0.764322470591077,0.8026409829110298,173.698099343954
0.05,mean_abs_delta_error,error_motion,blind,fr_step_blind,190,0.7579034721293408,0.7711153975689662,1185.1564141321323
0.05,mean_abs_delta_error,error_motion,coarse,fr_step_coarse,190,0.8734644995074772,0.941149558013708,135.38762733941888
0.05,mean_abs_delta_error,error_motion,task,fr_step_task,190,0.6097985735805165,0.7063531428921345,58.10425857709117
0.05,mean_abs_delta_error,error_motion,task_no_cost,fr_step_task_no_cost,190,0.6756478843450112,0.8704125059594887,55.86419856284846
0.05,mean_abs_delta_error,error_motion,task_no_group,fr_step_task_no_group,190,0.6279894894712852,0.7466213526836288,56.81651796746648
0.05,mean_abs_delta_error,error_motion,task_no_qty,fr_step_task_no_qty,190,0.819255960925014,0.8340038578120695,142.1096473094297
0.05,mean_abs_delta_loss,loss_motion,blind,fr_step_blind,190,0.6789158313009439,0.6957822129494768,392412.07180659246
0.05,mean_abs_delta_loss,loss_motion,coarse,fr_step_coarse,190,0.7621778390910644,0.8464993198528609,43667.13357534334
0.05,mean_abs_delta_loss,loss_motion,task,fr_step_task,190,0.576351556685138,0.6363439138859366,20298.954909820986
0.05,mean_abs_delta_loss,loss_motion,task_no_cost,fr_step_task_no_cost,190,0.6349063596546242,0.8166165850927494,19403.83073164746
