scale,channel,target,target_label,metric,value
run_level,null,V_T,$V_T$,raw_rate_r2,0.0
run_level,null,Delta_rep_T,$\Delta_T^{\mathrm{rep}}$,raw_rate_r2,0.0
run_level,coarse,V_T,$V_T$,raw_rate_r2,0.5903455605004324
run_level,coarse,Delta_rep_T,$\Delta_T^{\mathrm{rep}}$,raw_rate_r2,0.3448693757916825
run_level,task_no_qty,V_T,$V_T$,raw_rate_r2,0.6337716060874675
run_level,task_no_qty,Delta_rep_T,$\Delta_T^{\mathrm{rep}}$,raw_rate_r2,0.3856016453347171
run_level,task_no_cost,V_T,$V_T$,raw_rate_r2,0.8553190948207096
run_level,task_no_cost,Delta_rep_T,$\Delta_T^{\mathrm{rep}}$,raw_rate_r2,0.5293358312461879
run_level,task_no_group,V_T,$V_T$,raw_rate_r2,0.8067999897100715
run_level,task_no_group,Delta_rep_T,$\Delta_T^{\mathrm{rep}}$,raw_rate_r2,0.4967550540502152
run_level,task,V_T,$V_T$,raw_rate_r2,0.7937950879474605
run_level,task,Delta_rep_T,$\Delta_T^{\mathrm{rep}}$,raw_rate_r2,0.4885872972048855
transition_level,null,v_t,$v_t$,spearman_rho,0.0
transition_level,coarse,v_t,$v_t$,spearman_rho,0.1619149659627016
transition_level,task_no_qty,v_t,$v_t$,spearman_rho,0.3044583085820517
transition_level,task_no_cost,v_t,$v_t$,spearman_rho,0.5693517062225492
transition_level,task_no_group,v_t,$v_t$,spearman_rho,0.5778630476418501
transition_level,task,v_t,$v_t$,spearman_rho,0.5727346522749338
